fighter_id,sig_strikes_succ,takedowns_att,takedowns_succ,submiss_att,reversals,ctrl,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att
2858.0,122.0,5.0,2.0,3.0,0.0,238,0.0,400.0,182.0,328.0
2859.0,202.0,19.0,4.0,1.0,3.0,665,1.0,535.0,309.0,414.0
2860.0,67.0,0.0,0.0,1.0,0.0,400,2.0,210.0,105.0,172.0
2861.0,1014.0,62.0,19.0,2.0,7.0,2483,7.0,2767.0,1277.0,2440.0
2862.0,3.0,0.0,0.0,0.0,0.0,23,0.0,6.0,3.0,6.0
2863.0,11.0,4.0,1.0,0.0,0.0,121,0.0,67.0,26.0,51.0
2864.0,157.0,12.0,3.0,3.0,1.0,540,1.0,491.0,272.0,359.0
2865.0,449.0,4.0,3.0,0.0,0.0,289,4.0,837.0,492.0,792.0
2868.0,73.0,2.0,1.0,2.0,1.0,84,0.0,335.0,174.0,213.0
2869.0,418.0,54.0,24.0,2.0,0.0,1585,0.0,1166.0,577.0,976.0
2870.0,35.0,7.0,1.0,2.0,1.0,28,1.0,153.0,61.0,127.0
2871.0,108.0,6.0,4.0,1.0,0.0,436,4.0,384.0,258.0,191.0
2873.0,212.0,55.0,29.0,1.0,1.0,1955,3.0,818.0,330.0,676.0
2875.0,69.0,7.0,4.0,1.0,0.0,215,0.0,267.0,81.0,254.0
2876.0,334.0,12.0,4.0,3.0,5.0,487,1.0,1586.0,509.0,1375.0
2877.0,398.0,29.0,10.0,0.0,0.0,486,10.0,1031.0,432.0,994.0
2878.0,107.0,1.0,1.0,0.0,0.0,142,0.0,226.0,123.0,209.0
2880.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.0,8.0,3.0
2881.0,856.0,28.0,6.0,5.0,0.0,745,3.0,1481.0,930.0,1406.0
2883.0,99.0,3.0,0.0,0.0,0.0,11,0.0,225.0,117.0,205.0
2884.0,276.0,88.0,27.0,1.0,0.0,1295,1.0,687.0,394.0,549.0
2885.0,268.0,89.0,27.0,8.0,1.0,2050,1.0,900.0,476.0,663.0
2886.0,44.0,6.0,0.0,1.0,0.0,62,0.0,144.0,64.0,124.0
2892.0,53.0,9.0,1.0,0.0,0.0,60,0.0,204.0,57.0,200.0
2894.0,255.0,23.0,7.0,11.0,3.0,1069,2.0,691.0,371.0,554.0
2896.0,25.0,0.0,0.0,2.0,1.0,5,0.0,109.0,89.0,36.0
2899.0,215.0,24.0,6.0,10.0,2.0,1022,3.0,563.0,308.0,463.0
2900.0,61.0,6.0,0.0,0.0,0.0,115,0.0,204.0,93.0,157.0
2901.0,10.0,0.0,0.0,0.0,0.0,13,0.0,30.0,20.0,20.0
2902.0,861.0,4.0,1.0,0.0,0.0,257,6.0,1461.0,886.0,1429.0
2905.0,590.0,84.0,36.0,8.0,0.0,3209,1.0,1750.0,891.0,1420.0
2909.0,95.0,16.0,3.0,0.0,0.0,640,0.0,196.0,139.0,146.0
2911.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,1.0
2912.0,31.0,3.0,1.0,0.0,0.0,461,1.0,99.0,65.0,54.0
2913.0,78.0,3.0,1.0,0.0,0.0,103,0.0,269.0,100.0,243.0
2914.0,350.0,29.0,13.0,0.0,0.0,1101,0.0,1052.0,617.0,757.0
2918.0,45.0,3.0,2.0,0.0,0.0,531,1.0,180.0,115.0,104.0
2920.0,94.0,15.0,5.0,0.0,0.0,291,0.0,209.0,119.0,174.0
2921.0,69.0,2.0,1.0,2.0,0.0,417,1.0,196.0,142.0,117.0
2922.0,127.0,6.0,4.0,3.0,2.0,0,1.0,491.0,410.0,191.0
2923.0,41.0,0.0,0.0,0.0,0.0,276,0.0,189.0,111.0,110.0
2925.0,260.0,16.0,6.0,2.0,0.0,996,0.0,715.0,334.0,609.0
2926.0,210.0,23.0,8.0,2.0,2.0,559,6.0,558.0,282.0,477.0
2929.0,157.0,12.0,3.0,5.0,3.0,948,0.0,427.0,215.0,365.0
2935.0,23.0,1.0,1.0,0.0,0.0,88,0.0,98.0,67.0,50.0
2937.0,81.0,1.0,1.0,1.0,2.0,654,0.0,204.0,142.0,142.0
2938.0,4.0,0.0,0.0,0.0,0.0,0,0.0,19.0,17.0,6.0
2940.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,2.0
2943.0,856.0,22.0,14.0,2.0,3.0,2253,10.0,2229.0,1090.0,1970.0
2946.0,105.0,19.0,8.0,1.0,0.0,732,0.0,335.0,185.0,247.0
2947.0,258.0,42.0,16.0,23.0,5.0,1100,4.0,1113.0,679.0,659.0
2950.0,23.0,0.0,0.0,0.0,1.0,6,0.0,62.0,32.0,53.0
2951.0,81.0,10.0,6.0,3.0,1.0,407,1.0,268.0,135.0,203.0
2952.0,127.0,12.0,1.0,1.0,0.0,68,1.0,290.0,144.0,273.0
2953.0,106.0,11.0,5.0,0.0,0.0,555,0.0,275.0,125.0,255.0
